,time,job_unknown,student,age,balance,campagin,duration,housing,y
0,0.6083333333333333,0.0,0.0,-0.1928121482177701,-0.0482055080376375,-0.5664955206267389,0.1944157605044291,1.0,0
1,0.6861111111111111,0.0,0.0,-0.8585137518352917,-0.3713200568689551,-0.5664955206267389,0.1944157605044291,0.0,0
2,0.4611111111111111,1.0,0.0,1.3050164599216532,-0.4386103287644077,1.3584830284979432,-0.340563716733503,1.0,0
3,0.9694444444444444,0.0,0.0,-0.6920883509309113,-0.2682628836957393,-0.5664955206267389,-0.1938757955553603,1.0,0
4,0.975,0.0,0.0,-0.8585137518352917,0.6049951042808327,-0.5664955206267389,0.1800345917614739,1.0,0
5,0.6333333333333333,0.0,0.0,0.1400386535909905,-0.1497471345465413,3.283461577622625,-0.8956768302115724,1.0,0
6,0.4611111111111111,1.0,0.0,-0.9417264522874818,-0.3964781314965342,-0.5664955206267389,-0.5217664428947382,1.0,0
7,0.5527777777777778,1.0,0.0,0.3896767549475611,0.271877947465056,-0.1814998108018024,-0.4642417679229175,0.0,0
8,0.3805555555555555,0.0,0.0,-0.2760248486699603,0.7692803626922531,-0.1814998108018024,-0.162237224320859,1.0,0
9,0.5055555555555555,1.0,0.0,-0.0263867473133897,-0.433457470105747,0.2034958990231339,-0.852533323982707,1.0,0
10,0.7,0.0,0.0,-0.7753010513831015,0.0569734304656149,0.5884916088480704,-0.685711766564427,0.0,0
11,0.9638888888888888,0.0,0.0,0.8889529576607021,-0.4680119340520605,-0.5664955206267389,-0.6972167015587911,1.0,0
12,0.9694444444444444,0.0,0.0,-0.1928121482177701,-0.7656652989229364,0.2034958990231339,-0.2629054055215451,1.0,0
13,0.4388888888888889,1.0,0.0,-0.0263867473133897,-0.4537657954075277,-0.5664955206267389,-0.6281870915926063,1.0,0
14,0.4527777777777778,1.0,0.0,-0.1928121482177701,-0.4286077207799486,1.3584830284979432,-0.682835532815836,1.0,0
